\\gfs\Shares\00_全社共有\photo&Video/2014ハロウィン装飾画像募集,101819,6
\\gfs\Shares\00_全社共有\受渡フォルダ/採用,7084031,29
\\gfs\Shares\00_全社共有\photo&Video/20150917_TGS2015,3081760511,574
\\gfs\Shares\00_全社共有\ProjectRebirth/会議議事録,1118299554,258
\\gfs\Shares\00_全社共有\広報部/NxJ Daily Clipping,29788481,167
\\gfs\Shares\00_全社共有\社員総会,1189271259,40
\\gfs\Shares\00_全社共有\_old/System,24965057,4
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆休日分一時フォルダ,1436204228,1571
\\gfs\Shares\00_全社共有\社員総会/2015,1134859656,8
\\gfs\Shares\00_全社共有\通信端末金額画像/古めの端末,1573578,17
\\gfs\Shares\00_全社共有\photo&Video/社員総会,9858800600,390
\\gfs\Shares\00_全社共有\gloopsit/03_temp,20409589,20
\\gfs\Shares\00_全社共有\photo&Video/Relaxation Day画像,0,0
\\gfs\Shares\00_全社共有\Study/2015,8741840482,13
\\gfs\Shares\00_全社共有\_old/サンフランシスコ20130331,1708090694,706
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/インフィニット・ストラトス　ブレイジング・メモリー,13624872,62
\\gfs\Shares\00_全社共有\Study,8941951407,106
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼/2016,79684493,102
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ギャングソウル 全国制覇,232469323,258
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ナイツオブグローリー,16277463099,8291
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト,1726439654,15
\\gfs\Shares\00_全社共有\Study/facebookセミナー資料_20150324,112264257,4
\\gfs\Shares\00_全社共有\Study/2013,10344192,20
\\gfs\Shares\00_全社共有\photo&Video/ATT動画・画像,9052290329,1348
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ガールフレンド（仮）,491011746,712
\\gfs\Shares\00_全社共有\会社案内,4631452577,196
\\gfs\Shares\00_全社共有\会社案内/過去,776897612,87
\\gfs\Shares\00_全社共有\ProjectRebirth/顔写真座席表ブラウザ版プラグイン,2991988,4
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆過去分 Webレポート,77049335,28
\\gfs\Shares\00_全社共有\gloopsit/01_tool,52402033,35
\\gfs\Shares\00_全社共有\_old/経営戦略_共有,65274398,134
\\gfs\Shares\00_全社共有\photo&Video/交換所,8816453782,94
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆スポット_競合タイトル,349198990,574
\\gfs\Shares\00_全社共有\社員総会/2013,777095,5
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2016Q1,110181809,10
\\gfs\Shares\00_全社共有\photo&Video/クリッピング,5034510,20
\\gfs\Shares\00_全社共有\_old/板垣,308952,4
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/アイドルマスターシンデレラガールズ,12774778234,15418
\\gfs\Shares\00_全社共有\05_printer/.TemporaryItems,4096,1
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2015Q3,12010687,8
\\gfs\Shares\00_全社共有\photo&Video/red_20160516,56957627,40
\\gfs\Shares\00_全社共有\photo&Video/シンガポールオフィス画像,3539743,17
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆競合タイトルCM_周年キャンペーン資料,67992271,10
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/灼眼のシャナ 壮絶バトル,45220807,161
\\gfs\Shares\00_全社共有\Study/MS_Workshop_2016,6210199,4
\\gfs\Shares\00_全社共有\photo&Video,133860285244,13092
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/天空のクリスタリア,103977372,158
\\gfs\Shares\00_全社共有\受渡フォルダ/峠玲奈,2376270964,631
\\gfs\Shares\00_全社共有\法務室（全社員共有）/20121120_コンプガチャstudy,1398272,3
\\gfs\Shares\00_全社共有\_old/Avast_uninst,325413,2
